activity_code,activity_label,activity_main_code,activity_main_label,activity_display
218,معدن‌کاری و استخراج معدن، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,218 — معدن‌کاری و استخراج معدن، برای استفاده نهایی خود
221,تولید و فرآوری محصولات خوراکی، آشامیدنی‌ و تنباکو، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,221 — تولید و فرآوری محصولات خوراکی، آشامیدنی‌ و تنباکو، برای استفاده نهایی خود
222,تولید و فرآوری منسوجات، پوشاک، چرم و محصولات مرتبط، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,222 — تولید و فرآوری منسوجات، پوشاک، چرم و محصولات مرتبط، برای استفاده نهایی خود
223,تولید و فرآوری محصولات چوب و پوست درختان، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,223 — تولید و فرآوری محصولات چوب و پوست درختان، برای استفاده نهایی خود
224,تولید و فرآوری آجر، بلوک‌های بتونی، بلوک‌های توخالی و کاشی، برای استفاده نهایی,2,تولید کالاها، برای استفاده نهایی خود,224 — تولید و فرآوری آجر، بلوک‌های بتونی، بلوک‌های توخالی و کاشی، برای استفاده نهایی
225,تولید و فرآوری فرآورده‌های گیاهی و دارویی، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,225 — تولید و فرآوری فرآورده‌های گیاهی و دارویی، برای استفاده نهایی خود
226,تولید و فرآوری فلزات و محصولات فلزی، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,226 — تولید و فرآوری فلزات و محصولات فلزی، برای استفاده نهایی خود
227,تولید و فرآوری محصولات با استفاده از سایر مواد، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,227 — تولید و فرآوری محصولات با استفاده از سایر مواد، برای استفاده نهایی خود
229,تهیه ملزومات و رد کردن محصولات و سایر فعالیت‌های مرتبط با تولید و فرآوری کالاها، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,229 — تهیه ملزومات و رد کردن محصولات و سایر فعالیت‌های مرتبط با تولید و فرآوری کالاها، برای استفاده نهایی خود
230,فعالیت‌های ساخت و ساز، برای استفاده نهایی خود,2,تولید کالاها، برای استفاده نهایی خود,230 — فعالیت‌های ساخت و ساز، برای استفاده نهایی خود
